"time, s","CPT, N","FB, m","ICP1, g","LC, N","LP1, m","PPT5858, kPa","PPT5859, kPa","rpm, rpm"
1050.78295898,-7.62517927867,0.118391721282,0.00429724541741,-50.1739165896,0.00186063303628,119.02902606,123.941302839,999.0
1051.79394531,-7.63118558685,0.118391314214,0.00429376343551,-50.1874995927,0.00186386404374,119.007420502,123.933086088,999.0
1052.77600098,-7.63707545827,0.118390918081,0.00429024000321,-50.201112067,0.00186706352678,118.985978187,123.924927455,999.0
1053.81396484,-7.64286616567,0.118390527584,0.00428695750222,-50.2147476612,0.00187023029599,118.964697441,123.916822388,999.0
1054.79602051,-7.64852832717,0.118390145873,0.00428374657186,-50.228421252,0.00187336571817,118.94357371,123.908769789,999.0
1055.77197266,-7.65410394036,0.118389773901,0.00428052510788,-50.2420955871,0.00187646894662,118.922606905,123.900769072,999.0
1056.78503418,-7.65958242086,0.118389397072,0.00427721472852,-50.255806847,0.00187953959001,118.901790906,123.892816951,999.0
1057.79602051,-7.66494759756,0.11838902762,0.0042743154113,-50.269538958,0.00188257767283,118.881124095,123.884910304,999.0
1058.78894043,-7.67021265097,0.118388668148,0.00427149484116,-50.2832745919,0.00188558411512,118.860605811,123.877050048,999.0
1059.79101562,-7.67538688491,0.118388315488,0.00426857222466,-50.2970245573,0.00188855852893,118.840232726,123.869234782,999.0
1060.78405762,-7.68047931881,0.118387974571,0.00426578605949,-50.3107750059,0.00189150136249,118.820000083,123.861460209,999.0
1061.79296875,-7.68548797161,0.118387633689,0.00426318342356,-50.3244923745,0.00189441329384,118.799905133,123.853724187,999.0
1062.8659668,-7.690426847,0.118387296227,0.00426057729242,-50.3382435939,0.00189729398398,118.779943478,123.846025473,999.0
1063.79602051,-7.69527280605,0.118386969212,0.00425811488573,-50.3519802225,0.00190014440306,118.760113744,123.838360918,999.0
1064.79003906,-7.70004573223,0.118386647939,0.00425561612098,-50.3656918369,0.00190296424509,118.740411373,123.83072931,999.0
1065.81994629,-7.70475667148,0.118386336185,0.00425340737501,-50.3793649094,0.00190575461358,118.720831065,123.82312481,999.0
1066.79101562,-7.70939678678,0.118386032957,0.00425135719408,-50.3930272714,0.00190851497857,118.701376019,123.815550645,999.0
1067.78601074,-7.71399612308,0.11838574506,0.00424909950442,-50.4066499667,0.00191124605462,118.682045565,123.808007318,999.0
1068.81494141,-7.71852601485,0.118385459539,0.00424708922076,-50.4202570549,0.00191394823091,118.662833798,123.800490426,999.0
1069.81896973,-7.72298674032,0.118385182798,0.00424520463819,-50.4338203788,0.00191662221957,118.643740683,123.792998673,999.0
1070.8380127,-7.7274013141,0.118384916815,0.00424344649412,-50.4473086456,0.00191926895482,118.624766735,123.785534612,999.0
1071.80297852,-7.73175798464,0.118384654707,0.00424160736047,-50.4607684632,0.00192188822381,118.605912477,123.778097484,999.0
1072.80004883,-7.73605259896,0.118384404636,0.00423991407905,-50.4741537753,0.00192448078811,118.587177197,123.770688723,999.0
1073.8260498,-7.74030498144,0.118384168189,0.0042382374682,-50.4874807358,0.00192704772832,118.568558268,123.763306938,999.0
1074.79797363,-7.7445133807,0.118383931978,0.00423673042462,-50.5007604307,0.00192958888039,118.550060516,123.755954578,999.0
1075.83203125,-7.74867069119,0.118383710646,0.00423516975866,-50.5139652334,0.00193210480136,118.531684116,123.748634828,999.0
1076.82202148,-7.75278240721,0.118383504299,0.00423371034988,-50.5270661441,0.00193459672677,118.513430105,123.741347888,999.0
1077.80004883,-7.75684277594,0.118383302954,0.00423243631048,-50.5401030449,0.00193706402147,118.495298493,123.734094171,999.0
1078.8170166,-7.76085169798,0.118383116699,0.00423107662487,-50.5530192936,0.00193950903808,118.477292515,123.72687779,999.0
1079.80395508,-7.76480962367,0.118382936732,0.00422979093905,-50.5658120835,0.00194193063328,118.459413857,123.71970073,999.0
1080.79394531,-7.76872419944,0.118382766597,0.0042286550395,-50.5785214257,0.00194433009452,118.441663744,123.712564089,999.0
1081.79296875,-7.77258935455,0.118382605302,0.00422740114611,-50.5910995644,0.00194670790342,118.424044361,123.7054714,999.0
1082.80395508,-7.77638833348,0.118382444261,0.00422630553938,-50.6035672346,0.00194906509871,118.406558765,123.698426417,999.0
1083.80102539,-7.78012118916,0.118382305369,0.00422508560884,-50.6159390993,0.00195140153377,118.389208909,123.691430622,999.0
1084.7800293,-7.78381773777,0.118382170736,0.0042240668887,-50.6281475472,0.00195371809048,118.371994873,123.684487605,999.0
1085.80297852,-7.78743705975,0.118382048168,0.00422314170889,-50.6402251401,0.0019560149416,118.354919238,123.677597506,999.0
1086.79699707,-7.79100824264,0.118381929616,0.00422220667411,-50.6521857185,0.00195829261629,118.33798721,123.670767084,999.0
1087.80297852,-7.7945310203,0.118381815225,0.0042213327829,-50.6639838221,0.0019605523568,118.321198678,123.663997221,999.0
1088.79199219,-7.79799350817,0.118381713199,0.00422042572438,-50.6756671998,0.00196279500137,118.304554318,123.657290492,999.0
1089.83496094,-7.80140613733,0.118381616483,0.00421961808628,-50.6872129781,0.00196502031132,118.288054909,123.650647713,999.0
1090.81103516,-7.80476059668,0.118381525626,0.00421892634213,-50.69861112,0.00196722950453,118.271704693,123.644073391,999.0
1091.79394531,-7.80803161579,0.118381437846,0.00421822189243,-50.7098486708,0.00196942304736,118.255502901,123.637567583,999.0
1092.78503418,-7.81124371362,0.118381358688,0.00421759410524,-50.7209848674,0.00197160247642,118.239452818,123.631134343,999.0
1093.79504395,-7.81440409365,0.118381283415,0.00421699919405,-50.731995813,0.00197376775583,118.223551237,123.624773185,999.0
1094.79003906,-7.81751868962,0.118381216219,0.00421634131925,-50.7429196748,0.00197591999349,118.207801791,123.618487481,999.0
1095.77099609,-7.82056922726,0.118381146515,0.00421589554097,-50.7537184656,0.00197806005183,118.192201337,123.612276013,999.0
1096.7869873,-7.82357038097,0.118381076556,0.0042153862019,-50.7643861634,0.0019801890445,118.176753131,123.606141438,999.0
1097.80102539,-7.8265089872,0.118381001069,0.00421476159443,-50.7749686543,0.00198230784946,118.161455621,123.600084593,999.0
1098.7869873,-7.82938754534,0.118380935206,0.00421435275743,-50.7854367945,0.00198441705799,118.146306324,123.594104082,999.0
1099.77905273,-7.83220757814,0.11838086488,0.00421390913276,-50.7958271127,0.00198651818872,118.131304405,123.588199797,999.0
1100.78198242,-7.8349885451,0.118380794054,0.00421337583488,-50.8061556198,0.0019886123947,118.116445654,123.582370588,999.0
1101.79394531,-7.83772792053,0.118380727815,0.004212886715,-50.8164392771,0.00199070082677,118.101726237,123.576612905,999.0
1102.79797363,-7.84043821507,0.11838065684,0.00421257208669,-50.8266740535,0.00199278448189,118.087143769,123.57092432,999.0
1103.80505371,-7.84309859198,0.118380587436,0.0042121274109,-50.8368475021,0.00199486393628,118.072695668,123.565305707,999.0
1104.82897949,-7.84570014501,0.118380514919,0.00421190658029,-50.8469750486,0.00199694229883,118.058380148,123.559751553,999.0
1105.80895996,-7.84827946972,0.11838044487,0.0042115428187,-50.8570656563,0.00199901877154,118.044190172,123.554260903,999.0
1106.8170166,-7.85081968072,0.118380370223,0.00421115099751,-50.8671323145,0.00200109524463,118.030125025,123.548831448,999.0
1107.78503418,-7.85332725256,0.118380293541,0.00421093620325,-50.8772068405,0.00200317254124,118.016177926,123.543458672,999.0
1108.80505371,-7.85581131122,0.118380219486,0.00421069820893,-50.8872752152,0.00200525197051,118.002347285,123.538140749,999.0
